OBJECTID,Shape,Join_Count,TARGET_FID,Crash_Year,Crash_Street,Crash_Ref_Number,Crash_Severity,Crash_Year,Crash_Month,Crash_Day_Of_Week,Crash_Hour,Crash_Nature,Crash_Type,Crash_Longitude_GDA94,Crash_Latitude_GDA94,Crash_Street,Crash_Street_Intersecting,Loc_Suburb,Loc_Local_Government_Area,Loc_Post_Code,Loc_Police_Division,Loc_Police_District,Loc_Police_Region,Loc_Queensland_Transport_Region,Loc_Main_Roads_Region,Loc_ABS_Statistical_Area_2,Loc_ABS_Statistical_Area_3,Loc_ABS_Statistical_Area_4,Loc_ABS_Remoteness,Loc_State_Electorate,Loc_Federal_Electorate,Crash_Controlling_Authority,Crash_Roadway_Feature,Crash_Traffic_Control,Crash_Speed_Limit,Crash_Road_Surface_Condition,Crash_Atmospheric_Condition,Crash_Lighting_Condition,Crash_Road_Horiz_Align,Crash_Road_Vert_Align,Crash_DCA_Code,Crash_DCA_Description,Crash_DCA_Group_Description,Count_Casualty_Fatality,Count_Casualty_Hospitalised,Count_Casualty_MedicallyTreated,Count_Casualty_MinorInjury,Count_Casualty_Total,Count_Unit_Car,Count_Unit_Motorcycle_Moped,Count_Unit_Truck,Count_Unit_Bus,Count_Unit_Bicycle,Count_Unit_Pedestrian,Count_Unit_Other,Shape_Length,Shape_Area
1,Polygon,3,1,2,Balonne Hwy,239492,Hospitalisation,2001,January,Sunday,5,Collision - miscellaneous,Other,146.157002,-27.966043,Balonne Hwy,<Null>,Cunnamulla,Paroo Shire,4490,Cunnamulla,South West,Southern,Southern,Downs South West,Far South West,Outback - South,Queensland - Outback,Very Remote,Warrego,Maranoa,State-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Wet,Clear,Dawn/Dusk,Straight,Level,600,Veh'S On Path: Other,Other,0,1,0,0,1,0,0,1,0,0,0,0,0.003616,0
2,Polygon,8,2,2,Banfield Hwy,131945,Hospitalisation,2001,December,Monday,20,Hit pedestrian,Hit pedestrian,0,0,Cunningham Hwy,<Null>,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Locally-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Darkness - Lighted,Straight,Level,906,Pass & Misc: Parked Car Ran Away,Other,0,2,0,0,2,1,0,0,0,0,2,0,0.001131,0
3,Polygon,10,3,2,Barkly Hwy,304262,Hospitalisation,2001,June,Wednesday,7,Overturned,Single Vehicle,138.353065,-19.941267,Barkly Hwy,Sheaffe St,Camooweal,Mount Isa City,4828,Camooweal,Mount Isa,Northern,Northern,North Queensland,Mount Isa Region,Outback - North,Queensland - Outback,Very Remote,Traeger,Kennedy,State-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,702,Off Path-Straight: Right Off Cway,Off carriageway on straight,0,2,0,0,2,1,0,0,0,0,0,0,0.010517,0.000001
4,Polygon,7,4,2,Barwon Hwy,231901,Hospitalisation,2001,January,Monday,18,Overturned,Single Vehicle,149.051984,-28.357198,Barwon Hwy,Lower Daymar Rd,Weengallon,Goondiwindi Region,4497,Thallon,South West,Southern,Southern,Downs South West,Inglewood - Waggamba,Darling Downs (west) - Maranoa,Darling Downs - Maranoa,Remote,Southern Downs,Maranoa,State-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,705,Off Path-Straight:Out Of Control On Cway,Out of control on straight,0,2,3,0,5,1,0,0,0,0,0,0,0.007247,0.000001
5,Polygon,17,5,2,Brisbane Valley Hwy,158037,Fatal,2001,January,Saturday,0,Hit object,Single Vehicle,152.354894,-26.944446,Brisbane Valley Hwy,D'Aguilar Hwy,Harlin,Somerset Region,4306,Moore,Moreton,Southern,SEQ North,North Coast and Wide Bay/Burnett,Kilcoy,Caboolture Hinterland,Moreton Bay - North,Inner Regional,Nanango,Blair,State-controlled,Intersection - T-Junction,Stop sign,100 - 110 km/h,Unknown,Unknown,Unknown,Straight,Level,700,Off Path-Straight: Other,Other,1,1,0,0,2,1,0,0,0,0,0,0,0.013467,0.000001
6,Polygon,339,6,2,Bruce Hwy,147837,Hospitalisation,2001,February,Friday,17,Rear-end,Multi-Vehicle,152.912468,-26.432009,Bruce Hwy,Eumundi - Kenilworth Rd,Cooroy,Noosa Shire,4563,Cooroy,Sunshine Coast,Central,SEQ North,North Coast and Wide Bay/Burnett,Noosa Hinterland,Noosa Hinterland,Sunshine Coast,Inner Regional,Nicklin,Wide Bay,State-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Dry,Clear,Dawn/Dusk,Straight,Level,301,Veh'S Same Direction: Rear End,Rear-end,0,1,0,1,2,1,1,0,0,0,0,0,0.263922,0.000025
7,Polygon,1,7,2,Bruce Hwy On Ramp,166507,Hospitalisation,2001,May,Friday,16,Angle,Multi-Vehicle,153.003448,-26.688849,Bruce Hwy On Ramp,Mons Rd,Chevallum,Sunshine Coast Region,4555,Palmwoods,Sunshine Coast,Central,SEQ North,North Coast and Wide Bay/Burnett,Palmwoods,Sunshine Coast Hinterland,Sunshine Coast,Inner Regional,Nicklin,Fisher,Locally-controlled,Intersection - Interchange,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,202,Veh'S Opposite Approach: Thru-Right,Opposing vehicles turning,0,1,0,0,1,1,1,0,0,0,0,0,0.001198,0
8,Polygon,7,8,2,Bunya Hwy,213987,Hospitalisation,2001,January,Wednesday,11,Rear-end,Multi-Vehicle,151.836716,-26.536157,Bunya Hwy,Transmitter Rd,Kingaroy,South Burnett Region,4610,Kingaroy,South West,Southern,Southern,North Coast and Wide Bay/Burnett,Kingaroy,Burnett,Wide Bay,Inner Regional,Nanango,Maranoa,State-controlled,Railway Crossing,Railway - lights only,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Grade,301,Veh'S Same Direction: Rear End,Rear-end,0,1,0,0,1,2,0,0,0,0,0,0,0.007184,0.000001
9,Polygon,21,9,2,Burnett Hwy,205894,Hospitalisation,2001,January,Sunday,11,Hit object,Single Vehicle,151.540247,-25.532727,Burnett Hwy,Gavial - Gracemere Rd,Reids Creek,North Burnett Region,4625,Gayndah,Wide Bay Burnett,Central,Southern,North Coast and Wide Bay/Burnett,Gayndah - Mundubbera,Burnett,Wide Bay,Outer Regional,Callide,Flynn,State-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Curved - view open,Grade,803,Off Path-Curve: Off Cway Rt Bend Hit Obj,Off carriageway on curve hit object,0,1,0,0,1,1,0,0,0,0,0,0,0.019038,0.000002
10,Polygon,36,10,2,Capricorn Hwy,240073,Hospitalisation,2001,February,Tuesday,8,Fall from vehicle,Single Vehicle,146.677057,-23.65243,Capricorn Hwy,Richardson St,Alpha,Barcaldine Region,4724,Alpha,South West,Southern,Central,Central Queensland,Barcaldine - Blackall,Outback - South,Queensland - Outback,Very Remote,Gregory,Maranoa,State-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Straight,Grade,901,Pass & Misc: Fell In/From Vehicle,Other,0,1,0,0,1,1,0,0,0,0,0,0,0.037068,0.000004
11,Polygon,56,11,2,Captain Cook Hwy,286071,Hospitalisation,2001,January,Friday,15,Rear-end,Multi-Vehicle,145.761431,-16.90916,Captain Cook Hwy,Minnie St,Cairns North,Cairns Region,4870,Cairns,Far North,Northern,Northern,North Queensland,Cairns City,Cairns - South,Cairns,Outer Regional,Cairns,Leichhardt,State-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,301,Veh'S Same Direction: Rear End,Rear-end,0,1,0,0,1,3,1,0,0,0,0,0,0.030307,0.000003
12,Polygon,3,12,2,Carnarvon Hwy,238486,Hospitalisation,2001,March,Friday,23,Overturned,Single Vehicle,149.067165,-27.135615,Carnarvon Hwy,<Null>,Weribone,Maranoa Region,4417,Surat,South West,Southern,Southern,Downs South West,Roma Region,Darling Downs (west) - Maranoa,Darling Downs - Maranoa,Remote,Warrego,Maranoa,State-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Darkness - Not lighted,Straight,Level,400,Veh'S Manoeuvring: Other,Other,0,1,0,0,1,1,0,0,0,0,0,0,0.003622,0
13,Polygon,3,13,2,Castlereagh Hwy,238970,Hospitalisation,2001,May,Sunday,23,Overturned,Single Vehicle,148.207079,-28.633446,Castlereagh Hwy,<Null>,Dirranbandi,Balonne Shire,4486,Dirranbandi,South West,Southern,Southern,Downs South West,Balonne,Darling Downs (west) - Maranoa,Darling Downs - Maranoa,Very Remote,Warrego,Maranoa,State-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Darkness - Not lighted,Straight,Level,702,Off Path-Straight: Right Off Cway,Off carriageway on straight,0,1,0,0,1,1,0,0,0,0,0,0,0.003629,0
14,Polygon,27,14,2,Cunningham Hwy,186383,Hospitalisation,2001,February,Tuesday,15,Hit object,Single Vehicle,152.51785,-28.019982,Cunningham Hwy,Lake Moogerah Rd,Mount Edwards,Scenic Rim Region,4309,Boonah,Ipswich,Southern,SEQ South,South Coast,Boonah,Ipswich Hinterland,Ipswich,Inner Regional,Scenic Rim,Wright,State-controlled,Intersection - T-Junction,No traffic control,100 - 110 km/h,Sealed - Wet,Raining,Daylight,Curved - view open,Level,803,Off Path-Curve: Off Cway Rt Bend Hit Obj,Off carriageway on curve hit object,0,1,0,0,1,0,0,1,0,0,0,0,0.024125,0.000002
