OBJECTID,Shape,Join_Count,TARGET_FID,Crash_Year,Crash_Street,Crash_Ref_Number,Crash_Severity,Crash_Year,Crash_Month,Crash_Day_Of_Week,Crash_Hour,Crash_Nature,Crash_Type,Crash_Longitude_GDA94,Crash_Latitude_GDA94,Crash_Street,Crash_Street_Intersecting,Loc_Suburb,Loc_Local_Government_Area,Loc_Post_Code,Loc_Police_Division,Loc_Police_District,Loc_Police_Region,Loc_Queensland_Transport_Region,Loc_Main_Roads_Region,Loc_ABS_Statistical_Area_2,Loc_ABS_Statistical_Area_3,Loc_ABS_Statistical_Area_4,Loc_ABS_Remoteness,Loc_State_Electorate,Loc_Federal_Electorate,Crash_Controlling_Authority,Crash_Roadway_Feature,Crash_Traffic_Control,Crash_Speed_Limit,Crash_Road_Surface_Condition,Crash_Atmospheric_Condition,Crash_Lighting_Condition,Crash_Road_Horiz_Align,Crash_Road_Vert_Align,Crash_DCA_Code,Crash_DCA_Description,Crash_DCA_Group_Description,Count_Casualty_Fatality,Count_Casualty_Hospitalised,Count_Casualty_MedicallyTreated,Count_Casualty_MinorInjury,Count_Casualty_Total,Count_Unit_Car,Count_Unit_Motorcycle_Moped,Count_Unit_Truck,Count_Unit_Bus,Count_Unit_Bicycle,Count_Unit_Pedestrian,Count_Unit_Other,Shape_Length,Shape_Area
1,Polygon,1,1,2,Alexandra Pde,152181,Hospitalisation,2001,May,Tuesday,5,Hit parked vehicle,Single Vehicle,153.103478,-26.655659,Alexandra Pde,<Null>,Maroochydore,Sunshine Coast Region,4558,Maroochydore,Sunshine Coast,Central,SEQ North,North Coast and Wide Bay/Burnett,Maroochydore - Kuluin,Maroochy,Sunshine Coast,Major Cities,Maroochydore,Fairfax,Locally-controlled,Merge Lane,No traffic control,60 km/h,Sealed - Dry,Clear,Dawn/Dusk,Straight,Level,604,Veh'S On Path: Car Door,Hit parked vehicle,0,1,0,0,1,1,0,0,0,1,0,0,0.001198,0
2,Polygon,1,2,2,Ben Lexcen Dr,164769,Hospitalisation,2001,November,Wednesday,14,Angle,Multi-Vehicle,153.102302,-26.404,Ben Lexcen Dr,<Null>,Sunshine Beach,Noosa Shire,4567,Noosa Heads,Sunshine Coast,Central,SEQ North,North Coast and Wide Bay/Burnett,Sunshine Beach,Noosa,Sunshine Coast,Major Cities,Noosa,Wide Bay,Locally-controlled,Median Opening,No traffic control,0 - 50 km/h,Sealed - Dry,Clear,Daylight,Straight,Grade,400,Veh'S Manoeuvring: Other,Other,0,1,0,0,1,1,0,0,0,1,0,0,0.001196,0
3,Polygon,1,3,2,Blackdown Tableland Rd,241582,Hospitalisation,2001,December,Sunday,18,Overturned,Single Vehicle,149.117472,-23.736074,Blackdown Tableland Rd,<Null>,Dingo,Central Highlands Region,4702,Blackwater,Capricornia,Central,Central,Central Queensland,Central Highlands - East,Central Highlands (qld),Central Queensland,Remote,Gregory,Flynn,Locally-controlled,Forestry/National Park Road,No traffic control,60 km/h,Unsealed - Dry,Clear,Daylight,Curved - view obscured,Grade,805,Off Path-Curve: Out Of Control On Cway,Out of control on curve,0,1,1,0,2,1,0,0,0,0,0,0,0.001183,0
4,Polygon,14,4,2,Booloumba Ck Rd,72399,Hospitalisation,2001,December,Friday,13,Hit object,Single Vehicle,0,0,Forestry Rd,<Null>,Unknown,Unknown,<Null>,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Locally-controlled,Forestry/National Park Road,No traffic control,100 - 110 km/h,Unsealed - Wet,Clear,Daylight,Curved - view open,Level,800,Off Path-Curve: Other,Other,0,1,0,0,1,1,0,0,0,0,0,0,0.001131,0
5,Polygon,14,5,2,Bukki Rd,72399,Hospitalisation,2001,December,Friday,13,Hit object,Single Vehicle,0,0,Forestry Rd,<Null>,Unknown,Unknown,<Null>,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Locally-controlled,Forestry/National Park Road,No traffic control,100 - 110 km/h,Unsealed - Wet,Clear,Daylight,Curved - view open,Level,800,Off Path-Curve: Other,Other,0,1,0,0,1,1,0,0,0,0,0,0,0.001131,0
6,Polygon,1,6,2,Burnett St,108716,Hospitalisation,2001,November,Tuesday,15,Rear-end,Multi-Vehicle,152.749874,-27.612613,Burnett St,<Null>,Sadliers Crossing,Ipswich City,4305,Ipswich,Ipswich,Southern,SEQ South,Metropolitan,Ipswich - Central,Ipswich Inner,Ipswich,Major Cities,Ipswich,Blair,Locally-controlled,Merge Lane,Supervised school crossing,0 - 50 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,301,Veh'S Same Direction: Rear End,Rear-end,0,1,0,0,1,2,0,0,0,0,0,0,0.001203,0
7,Polygon,1,7,2,Caloundra Rd,197201,Hospitalisation,2001,July,Friday,17,Sideswipe,Multi-Vehicle,153.085513,-26.782812,Caloundra Rd,<Null>,Meridan Plains,Sunshine Coast Region,4551,Caloundra,Sunshine Coast,Central,SEQ North,North Coast and Wide Bay/Burnett,Caloundra - West,Caloundra,Sunshine Coast,Major Cities,Caloundra,Fisher,State-controlled,Merge Lane,No traffic control,80 - 90 km/h,Sealed - Dry,Clear,Dawn/Dusk,Straight,Grade,305,Veh'S Same Direction: Lane Side Swipe,Lane changes,0,1,0,0,1,2,0,1,0,0,0,0,0.001198,0
8,Polygon,1,8,2,Coonoongibber Ck Rd,213433,Hospitalisation,2001,September,Saturday,10,Hit object,Single Vehicle,152.691992,-26.53646,Coonoongibber Ck Rd,<Null>,Brooloo,Gympie Region,4570,Imbil,Wide Bay Burnett,Central,Southern,North Coast and Wide Bay/Burnett,Gympie Region,Gympie - Cooloola,Wide Bay,Inner Regional,Gympie,Wide Bay,Locally-controlled,Forestry/National Park Road,No traffic control,100 - 110 km/h,Unsealed - Dry,Smoke/Dust,Daylight,Straight,Dip,703,Off Path-Straight: Left Off Cway Hit Obj,Off carriageway on straight hit object,0,1,0,0,1,1,0,0,0,0,0,0,0.001197,0
9,Polygon,2,9,2,Danbulla Rd,284680,Hospitalisation,2001,September,Saturday,10,Hit object,Single Vehicle,145.578736,-17.153842,Danbulla Rd,<Null>,Tinaroo,Tablelands Region,4872,Atherton,Far North,Northern,Northern,North Queensland,Malanda - Yungaburra,Tablelands (east) - Kuranda,Cairns,Outer Regional,Hill,Kennedy,Locally-controlled,Forestry/National Park Road,No traffic control,60 km/h,Unsealed - Dry,Clear,Daylight,Curved - view obscured,Grade,804,Off Path-Curve: Off Cway Lt Bend Hit Obj,Off carriageway on curve hit object,0,1,2,3,6,1,0,0,0,0,0,0,0.002314,0
10,Polygon,2,10,2,Flinders St,279293,Hospitalisation,2001,April,Wednesday,12,Rear-end,Multi-Vehicle,146.809256,-19.26706,Flinders St,<Null>,Townsville City,Townsville City,4810,Townsville,Townsville,Northern,Northern,North Queensland,Townsville City - North Ward,Townsville,Townsville,Outer Regional,Townsville,Herbert,Locally-controlled,Median Opening,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,301,Veh'S Same Direction: Rear End,Rear-end,0,1,0,0,1,1,1,0,0,0,0,0,0.002328,0
11,Polygon,14,11,2,Forestry Rd,72399,Hospitalisation,2001,December,Friday,13,Hit object,Single Vehicle,0,0,Forestry Rd,<Null>,Unknown,Unknown,<Null>,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Locally-controlled,Forestry/National Park Road,No traffic control,100 - 110 km/h,Unsealed - Wet,Clear,Daylight,Curved - view open,Level,800,Off Path-Curve: Other,Other,0,1,0,0,1,1,0,0,0,0,0,0,0.001131,0
12,Polygon,1,12,2,Gladstone - Mt Larcom Rd,243052,Hospitalisation,2001,July,Sunday,13,Hit animal,Other,151.251014,-23.842181,Gladstone - Mt Larcom Rd,<Null>,Gladstone Central,Gladstone Region,4680,Gladstone,Capricornia,Central,Central,Central Queensland,Gladstone,Gladstone,Central Queensland,Inner Regional,Gladstone,Flynn,State-controlled,Median Opening,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,609,Pass & Misc: Hit Animal,Hit animal,0,1,0,0,1,0,1,0,0,0,0,1,0.001183,0
13,Polygon,1,13,2,Lavarack Ave,114309,Hospitalisation,2001,March,Monday,14,Angle,Multi-Vehicle,153.101314,-27.431203,Lavarack Ave,<Null>,Eagle Farm,Brisbane City,4009,Hendra,North Brisbane,Brisbane,SEQ North,Metropolitan,Eagle Farm - Pinkenba,Nundah,Brisbane - North,Major Cities,Clayfield,Lilley,Locally-controlled,Median Opening,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight,Curved - view obscured,Level,207,Veh'S Opposite Approach: U-Turn,U-turn,0,1,0,0,1,1,1,0,0,0,0,0,0.001202,0
14,Polygon,1,14,2,Moggill Rd,27379,Hospitalisation,2001,February,Wednesday,8,Angle,Multi-Vehicle,152.959102,-27.506602,Moggill Rd,<Null>,Chapel Hill,Brisbane City,4069,Indooroopilly,North Brisbane,Brisbane,SEQ North,Metropolitan,Chapel Hill,Kenmore - Brookfield - Moggill,Brisbane - West,Major Cities,Moggill,Ryan,State-controlled,Median Opening,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,207,Veh'S Opposite Approach: U-Turn,U-turn,0,1,0,0,1,1,0,1,0,0,0,0,0.001202,0
15,Polygon,14,15,2,Moon Point Happy Valley Rd,72399,Hospitalisation,2001,December,Friday,13,Hit object,Single Vehicle,0,0,Forestry Rd,<Null>,Unknown,Unknown,<Null>,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Locally-controlled,Forestry/National Park Road,No traffic control,100 - 110 km/h,Unsealed - Wet,Clear,Daylight,Curved - view open,Level,800,Off Path-Curve: Other,Other,0,1,0,0,1,1,0,0,0,0,0,0,0.001131,0
16,Polygon,1,16,2,Nerang - Broadbeach Rd,133963,Hospitalisation,2001,June,Saturday,8,Sideswipe,Multi-Vehicle,153.391252,-28.030393,Nerang - Broadbeach Rd,<Null>,Carrara,Gold Coast City,4211,Broadbeach,Gold Coast,South Eastern,SEQ South,South Coast,Carrara,Nerang,Gold Coast,Major Cities,Surfers Paradise,Moncrieff,Locally-controlled,Merge Lane,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,306,Veh'S Same Direction: Lane Change Right,Lane changes,0,1,0,0,1,1,0,1,0,0,0,0,0.001205,0
17,Polygon,14,17,2,Pettigrews Rd,72399,Hospitalisation,2001,December,Friday,13,Hit object,Single Vehicle,0,0,Forestry Rd,<Null>,Unknown,Unknown,<Null>,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Locally-controlled,Forestry/National Park Road,No traffic control,100 - 110 km/h,Unsealed - Wet,Clear,Daylight,Curved - view open,Level,800,Off Path-Curve: Other,Other,0,1,0,0,1,1,0,0,0,0,0,0,0.001131,0
18,Polygon,1,18,2,Wynnum Rd,34685,Hospitalisation,2001,April,Thursday,16,Angle,Multi-Vehicle,153.071095,-27.468715,Wynnum Rd,<Null>,Morningside,Brisbane City,4170,Morningside,South Brisbane,Brisbane,SEQ South,Metropolitan,Morningside - Seven Hills,Brisbane Inner - East,Brisbane Inner City,Major Cities,Bulimba,Griffith,Locally-controlled,Median Opening,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,308,Veh'S Same Direction: Right Turn S/Swipe,Parallel lanes turning,0,1,0,0,1,3,0,0,0,0,0,0,0.001202,0
19,Polygon,1,19,2,Abbotsford Rd,18243,Hospitalisation,2002,January,Monday,9,Fall from vehicle,Single Vehicle,153.038785,-27.441805,Abbotsford Rd,<Null>,Bowen Hills,Brisbane City,4006,Fortitude Valley,North Brisbane,Brisbane,SEQ North,Metropolitan,Newstead - Bowen Hills,Brisbane Inner - North,Brisbane Inner City,Major Cities,Mcconnel,Brisbane,Locally-controlled,Merge Lane,No traffic control,0 - 50 km/h,Sealed - Dry,Clear,Daylight,Straight,Grade,608,Veh'S On Path: Accident Or Broken Down,Hit parked vehicle,0,1,0,0,1,1,1,0,0,0,0,1,0.001202,0
20,Polygon,1,20,2,Alexandra St,247754,Hospitalisation,2002,May,Monday,8,Angle,Multi-Vehicle,150.517559,-23.35602,Alexandra St,<Null>,Park Avenue,Rockhampton Region,4701,North Rockhampton,Capricornia,Central,Central,Central Queensland,Park Avenue,Rockhampton,Central Queensland,Inner Regional,Rockhampton,Capricornia,Locally-controlled,Median Opening,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Grade,202,Veh'S Opposite Approach: Thru-Right,Opposing vehicles turning,0,1,0,0,1,2,0,0,0,0,0,0,0.001181,0
21,Polygon,1,21,2,Brisbane - Beenleigh Rd,68384,Hospitalisation,2002,February,Sunday,15,Rear-end,Multi-Vehicle,153.143864,-27.693486,Brisbane - Beenleigh Rd,<Null>,Waterford,Logan City,4133,Beenleigh,Logan,South Eastern,SEQ South,South Coast,Bethania - Waterford,Loganlea - Carbrook,Logan - Beaudesert,Major Cities,Waterford,Forde,State-controlled,Merge Lane,No traffic control,70 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,301,Veh'S Same Direction: Rear End,Rear-end,0,1,0,0,1,5,0,0,0,0,0,0,0.001203,0
